name_x|Bolsa de Madrid|Casa de Cervantes|Catedral de Sta María la Real de la Almudena|Congreso de los Diputados|Escenario Puerta del Angel|Iglesia Ortodoxa Rusa de Santa Maria Magdalena|Iglesia de San Pascual|Iglesia del Convento de las Descalzas Reales|La Mariblanca|Ministerio de Sanidad|Monasterio de la Encarnación|Museo Cerralbo|Palacio De Cristal|Palacio Real de Madrid|Palacio Vistalegre|Palacio de Cibeles|Palacio de Santa Cruz|Parroquia de Nuestra Señora del Buen Suceso|Paseo del Prado|Plaza de Cibeles|Plaza de Santa Ana|Puente del Rey|Puerta de Alcalá|Puerta del Sol|Real Oratorio Del Caballero de Gracia|Templo de Debod|Tribunal Supremo
Monasterio de la Encarnación|21.960227272727273|23.77840909090909|0.0|17.420454545454547|31.664772727272723|75.07954545454545|21.960227272727273|5.573863636363637|8.880681818181818|23.77840909090909|0.0|24.920454545454543|42.29545454545455|0.0|48.17613636363636|21.960227272727273|18.329545454545453|34.07954545454545|21.960227272727273|21.960227272727273|23.77840909090909|22.505681818181817|26.5|8.880681818181818|17.420454545454547|22.505681818181817|20.028409090909093
Museo Cerralbo|38.0|39.81818181818182|25.613636363636367|33.46022727272727|26.090909090909086|67.0909090909091|38.0|20.039772727272727|24.920454545454547|39.81818181818182|25.613636363636367|0.0|54.66477272727273|25.613636363636367|73.78977272727275|38.0|34.36931818181819|9.159090909090908|38.0|38.0|39.81818181818182|19.625|42.53977272727273|24.920454545454547|33.46022727272727|19.625|32.97159090909091
Palacio De Cristal|18.977272727272727|47.29545454545455|41.971590909090914|23.517045454545453|60.392045454545446|45.02272727272727|18.977272727272727|41.971590909090914|32.39772727272727|47.29545454545455|41.971590909090914|53.64772727272727|0.0|41.971590909090914|72.00568181818181|18.977272727272727|41.846590909090914|62.80681818181818|18.977272727272727|18.977272727272727|47.29545454545455|51.23295454545454|14.4375|32.39772727272727|23.517045454545453|51.23295454545454|37.40909090909091
Palacio Real de Madrid|21.960227272727273|23.77840909090909|0.0|17.420454545454547|31.664772727272723|75.07954545454545|21.960227272727273|5.573863636363637|8.880681818181818|23.77840909090909|0.0|24.920454545454543|42.29545454545455|0.0|48.17613636363636|21.960227272727273|18.329545454545453|34.07954545454545|21.960227272727273|21.960227272727273|23.77840909090909|22.505681818181817|26.5|8.880681818181818|17.420454545454547|22.505681818181817|20.028409090909093
Palacio Vistalegre|70.13636363636364|71.95454545454545|48.17613636363636|65.5965909090909|66.89204545454545|123.25568181818181|70.13636363636364|53.75|57.05681818181819|71.95454545454545|48.17613636363636|73.0965909090909|72.32954545454544|48.17613636363636|0.0|70.13636363636364|66.50568181818181|66.89204545454545|70.13636363636364|70.13636363636364|71.95454545454545|57.73295454545455|74.67613636363636|57.05681818181819|65.5965909090909|57.73295454545455|68.20454545454545
Palacio de Cibeles|0.0|28.31818181818182|22.994318181818183|4.5397727272727275|49.08522727272727|53.56250000000001|0.0|22.994318181818183|13.420454545454547|28.31818181818182|22.994318181818183|38.34090909090909|20.335227272727273|22.994318181818183|71.17045454545456|0.0|22.869318181818183|47.5|0.0|0.0|28.31818181818182|39.92613636363637|4.5397727272727275|13.420454545454547|4.5397727272727275|39.92613636363637|28.56818181818182
Palacio de Santa Cruz|21.960227272727273|5.448863636363637|18.454545454545453|17.420454545454547|44.54545454545455|79.07954545454545|21.960227272727273|18.454545454545453|8.880681818181818|5.448863636363637|18.454545454545453|33.80113636363636|42.29545454545455|18.454545454545453|66.63068181818181|21.960227272727273|0.0|42.960227272727266|21.960227272727273|21.960227272727273|5.448863636363637|35.38636363636364|26.5|8.880681818181818|17.420454545454547|35.38636363636364|24.02840909090909
Parroquia de Nuestra Señora del Buen Suceso|46.88068181818182|48.69886363636364|34.49431818181818|42.34090909090909|15.624999999999998|75.9715909090909|46.88068181818182|28.920454545454547|33.80113636363637|48.69886363636364|34.49431818181818|8.880681818181818|63.54545454545455|34.49431818181818|67.30681818181819|46.88068181818182|43.25|0.0|46.88068181818182|46.88068181818182|48.69886363636364|10.465909090909092|51.42045454545455|33.80113636363637|42.34090909090909|10.465909090909092|40.06818181818182
Paseo del Prado|0.0|28.31818181818182|22.994318181818183|4.5397727272727275|49.08522727272727|53.56250000000001|0.0|22.994318181818183|13.420454545454547|28.31818181818182|22.994318181818183|38.34090909090909|20.335227272727273|22.994318181818183|71.17045454545456|0.0|22.869318181818183|47.5|0.0|0.0|28.31818181818182|39.92613636363637|4.5397727272727275|13.420454545454547|4.5397727272727275|39.92613636363637|28.56818181818182
Plaza de Cibeles|0.0|28.31818181818182|22.994318181818183|4.5397727272727275|49.08522727272727|53.56250000000001|0.0|22.994318181818183|13.420454545454547|28.31818181818182|22.994318181818183|38.34090909090909|20.335227272727273|22.994318181818183|71.17045454545456|0.0|22.869318181818183|47.5|0.0|0.0|28.31818181818182|39.92613636363637|4.5397727272727275|13.420454545454547|4.5397727272727275|39.92613636363637|28.56818181818182
Plaza de Santa Ana|27.40909090909091|0.0|23.90340909090909|22.869318181818183|49.99431818181817|84.5284090909091|27.40909090909091|23.90340909090909|14.329545454545455|0.0|23.90340909090909|39.25|47.74431818181819|23.90340909090909|72.07954545454545|27.40909090909091|5.448863636363637|48.40909090909091|27.40909090909091|27.40909090909091|0.0|40.835227272727266|31.948863636363637|14.329545454545455|22.869318181818183|40.835227272727266|29.477272727272727
Puente del Rey|38.0|39.81818181818183|21.613636363636367|33.46022727272728|9.15909090909091|63.09090909090908|38.0|16.03977272727273|24.92045454545455|39.81818181818183|21.613636363636367|15.34659090909091|50.66477272727272|21.613636363636367|56.84090909090909|38.0|34.36931818181819|9.15909090909091|38.0|38.0|39.81818181818183|0.0|42.539772727272734|24.92045454545455|33.46022727272728|0.0|27.187500000000004
Puerta de Alcalá|4.5397727272727275|32.85795454545455|27.53409090909091|9.079545454545457|53.625|49.02272727272727|4.5397727272727275|27.53409090909091|17.960227272727273|32.85795454545455|27.53409090909091|42.88068181818182|15.795454545454547|27.53409090909091|75.71022727272728|4.5397727272727275|27.40909090909091|52.03977272727273|4.5397727272727275|4.5397727272727275|32.85795454545455|44.46590909090909|0.0|17.960227272727273|9.079545454545457|44.46590909090909|41.409090909090914
Puerta del Sol|13.079545454545455|14.897727272727273|9.573863636363637|8.539772727272728|35.66477272727273|70.19886363636363|13.079545454545455|9.573863636363637|0.0|14.897727272727273|9.573863636363637|24.920454545454547|33.41477272727273|9.573863636363637|57.74999999999999|13.079545454545455|9.448863636363637|34.07954545454545|13.079545454545455|13.079545454545455|14.897727272727273|26.50568181818182|17.61931818181818|0.0|8.539772727272728|26.50568181818182|15.147727272727275
Real Oratorio Del Caballero de Gracia|4.5397727272727275|23.778409090909093|18.454545454545457|0.0|44.54545454545455|58.10227272727273|4.5397727272727275|18.454545454545457|8.88068181818182|23.778409090909093|18.454545454545457|33.80113636363637|24.875000000000004|18.454545454545457|66.63068181818181|4.5397727272727275|18.329545454545457|42.96022727272727|4.5397727272727275|4.5397727272727275|23.778409090909093|35.38636363636364|9.079545454545457|8.88068181818182|0.0|35.38636363636364|24.028409090909093
Templo de Debod|38.0|39.81818181818183|21.613636363636367|33.46022727272728|9.15909090909091|63.09090909090908|38.0|16.03977272727273|24.92045454545455|39.81818181818183|21.613636363636367|15.34659090909091|50.66477272727272|21.613636363636367|56.84090909090909|38.0|34.36931818181819|9.15909090909091|38.0|38.0|39.81818181818183|0.0|42.539772727272734|24.92045454545455|33.46022727272728|0.0|27.187500000000004
Tribunal Supremo|27.53409090909091|29.35227272727273|20.028409090909093|22.994318181818183|37.23863636363636|54.15909090909091|27.53409090909091|11.147727272727273|14.454545454545457|29.35227272727273|20.028409090909093|30.494318181818183|37.73295454545455|20.028409090909093|68.20454545454545|27.53409090909091|23.903409090909093|39.65340909090909|27.53409090909091|27.53409090909091|29.35227272727273|28.079545454545453|40.375|14.454545454545457|22.994318181818183|28.079545454545453|0.0
